Timestamp,surface,Matched_Latitude,Matched_Longitude,Discharge_m3_s,step,valid_time
2011-01-01,0.0,28.625,81.27499999999996,376.59375,,
2011-01-01,0.0,28.625,81.27499999999996,446.04688,1 days,2011-01-02
2011-01-02,0.0,28.625,81.27499999999996,426.26562,1 days,2011-01-03
2011-01-02,0.0,28.625,81.27499999999996,446.04688,,
2011-01-03,0.0,28.625,81.27499999999996,426.26562,,
2011-01-03,0.0,28.625,81.27499999999996,391.6875,1 days,2011-01-04
2011-01-04,0.0,28.625,81.27499999999996,391.6875,,
2011-01-04,0.0,28.625,81.27499999999996,365.625,1 days,2011-01-05
2011-01-05,0.0,28.625,81.27499999999996,365.625,,
2011-01-05,0.0,28.625,81.27499999999996,345.79688,1 days,2011-01-06
2011-01-06,0.0,28.625,81.27499999999996,329.67188,1 days,2011-01-07
2011-01-06,0.0,28.625,81.27499999999996,345.79688,,
2011-01-07,0.0,28.625,81.27499999999996,316.14062,1 days,2011-01-08
2011-01-07,0.0,28.625,81.27499999999996,329.67188,,
2011-01-08,0.0,28.625,81.27499999999996,304.54688,1 days,2011-01-09
2011-01-08,0.0,28.625,81.27499999999996,316.14062,,
2011-01-09,0.0,28.625,81.27499999999996,294.39062,1 days,2011-01-10
2011-01-09,0.0,28.625,81.27499999999996,304.54688,,
2011-01-10,0.0,28.625,81.27499999999996,286.82812,1 days,2011-01-11
2011-01-10,0.0,28.625,81.27499999999996,294.39062,,
2011-01-11,0.0,28.625,81.27499999999996,280.4375,1 days,2011-01-12
2011-01-11,0.0,28.625,81.27499999999996,286.82812,,
2011-01-12,0.0,28.625,81.27499999999996,273.35938,1 days,2011-01-13
2011-01-12,0.0,28.625,81.27499999999996,280.4375,,
2011-01-13,0.0,28.625,81.27499999999996,273.35938,,
2011-01-13,0.0,28.625,81.27499999999996,267.34375,1 days,2011-01-14
2011-01-14,0.0,28.625,81.27499999999996,267.34375,,
2011-01-14,0.0,28.625,81.27499999999996,262.71875,1 days,2011-01-15
2011-01-15,0.0,28.625,81.27499999999996,262.71875,,
2011-01-15,0.0,28.625,81.27499999999996,295.28125,1 days,2011-01-16
2011-01-16,0.0,28.625,81.27499999999996,327.04688,1 days,2011-01-17
2011-01-16,0.0,28.625,81.27499999999996,295.28125,,
2011-01-17,0.0,28.625,81.27499999999996,327.04688,,
2011-01-17,0.0,28.625,81.27499999999996,327.96875,1 days,2011-01-18
2011-01-18,0.0,28.625,81.27499999999996,327.96875,,
2011-01-18,0.0,28.625,81.27499999999996,314.76562,1 days,2011-01-19
2011-01-19,0.0,28.625,81.27499999999996,314.76562,,
2011-01-19,0.0,28.625,81.27499999999996,305.6875,1 days,2011-01-20
2011-01-20,0.0,28.625,81.27499999999996,298.9375,1 days,2011-01-21
2011-01-20,0.0,28.625,81.27499999999996,305.6875,,
2011-01-21,0.0,28.625,81.27499999999996,291.40625,1 days,2011-01-22
2011-01-21,0.0,28.625,81.27499999999996,298.9375,,
2011-01-22,0.0,28.625,81.27499999999996,291.40625,,
2011-01-22,0.0,28.625,81.27499999999996,284.375,1 days,2011-01-23
2011-01-23,0.0,28.625,81.27499999999996,284.375,,
2011-01-23,0.0,28.625,81.27499999999996,279.21875,1 days,2011-01-24
2011-01-24,0.0,28.625,81.27499999999996,276.5625,1 days,2011-01-25
2011-01-24,0.0,28.625,81.27499999999996,279.21875,,
2011-01-25,0.0,28.625,81.27499999999996,273.03125,1 days,2011-01-26
2011-01-25,0.0,28.625,81.27499999999996,276.5625,,
2011-01-26,0.0,28.625,81.27499999999996,273.03125,,
2011-01-26,0.0,28.625,81.27499999999996,268.53125,1 days,2011-01-27
2011-01-27,0.0,28.625,81.27499999999996,268.53125,,
2011-01-27,0.0,28.625,81.27499999999996,263.95312,1 days,2011-01-28
2011-01-28,0.0,28.625,81.27499999999996,259.6875,1 days,2011-01-29
2011-01-28,0.0,28.625,81.27499999999996,263.95312,,
2011-01-29,0.0,28.625,81.27499999999996,255.78125,1 days,2011-01-30
2011-01-29,0.0,28.625,81.27499999999996,259.6875,,
