Timestamp,surface,Matched_Latitude,Matched_Longitude,Discharge_m3_s,step,valid_time
2004-01-01,0.0,28.625,81.27499999999996,283.89062,,
2004-01-01,0.0,28.625,81.27499999999996,278.67188,1 days,2004-01-02
2004-01-02,0.0,28.625,81.27499999999996,274.4375,1 days,2004-01-03
2004-01-03,0.0,28.625,81.27499999999996,270.29688,1 days,2004-01-04
2004-01-04,0.0,28.625,81.27499999999996,266.23438,1 days,2004-01-05
2004-01-05,0.0,28.625,81.27499999999996,262.29688,1 days,2004-01-06
2004-01-06,0.0,28.625,81.27499999999996,258.59375,1 days,2004-01-07
2004-01-07,0.0,28.625,81.27499999999996,255.78125,1 days,2004-01-08
2004-01-08,0.0,28.625,81.27499999999996,253.1875,1 days,2004-01-09
2004-01-09,0.0,28.625,81.27499999999996,250.20312,1 days,2004-01-10
2004-01-10,0.0,28.625,81.27499999999996,247.23438,1 days,2004-01-11
2004-01-11,0.0,28.625,81.27499999999996,244.59375,1 days,2004-01-12
2004-01-12,0.0,28.625,81.27499999999996,242.76562,1 days,2004-01-13
2004-01-13,0.0,28.625,81.27499999999996,241.8125,1 days,2004-01-14
2004-01-14,0.0,28.625,81.27499999999996,243.76562,1 days,2004-01-15
2004-01-15,0.0,28.625,81.27499999999996,248.60938,1 days,2004-01-16
2004-01-16,0.0,28.625,81.27499999999996,247.20312,1 days,2004-01-17
2004-01-17,0.0,28.625,81.27499999999996,244.53125,1 days,2004-01-18
2004-01-18,0.0,28.625,81.27499999999996,243.54688,1 days,2004-01-19
2004-01-19,0.0,28.625,81.27499999999996,244.34375,1 days,2004-01-20
2004-01-20,0.0,28.625,81.27499999999996,244.125,1 days,2004-01-21
2004-01-21,0.0,28.625,81.27499999999996,245.84375,1 days,2004-01-22
2004-01-22,0.0,28.625,81.27499999999996,268.51562,1 days,2004-01-23
2004-01-23,0.0,28.625,81.27499999999996,365.15625,1 days,2004-01-24
2004-01-24,0.0,28.625,81.27499999999996,410.70312,1 days,2004-01-25
2004-01-25,0.0,28.625,81.27499999999996,410.82812,1 days,2004-01-26
2004-01-26,0.0,28.625,81.27499999999996,390.78125,1 days,2004-01-27
2004-01-27,0.0,28.625,81.27499999999996,371.15625,1 days,2004-01-28
2004-01-28,0.0,28.625,81.27499999999996,354.75,1 days,2004-01-29
2004-01-29,0.0,28.625,81.27499999999996,340.09375,1 days,2004-01-30
2004-01-30,0.0,28.625,81.27499999999996,328.0,1 days,2004-01-31
2004-01-31,0.0,28.625,81.27499999999996,335.54688,1 days,2004-02-01
2004-02-01,0.0,28.625,81.27499999999996,355.42188,1 days,2004-02-02
2004-02-02,0.0,28.625,81.27499999999996,359.25,1 days,2004-02-03
2004-02-03,0.0,28.625,81.27499999999996,349.78125,1 days,2004-02-04
2004-02-04,0.0,28.625,81.27499999999996,337.39062,1 days,2004-02-05
